id	name	rating	delta	rank	competes
heltion	何逊	3137.337562391404	110.907294894161	1	43
johnkram	汪乐平	3128.170375315074	47.32692197049058	2	89
jtjl	JTJL	2997.481097732672	52.32069955289338	3	21
asapin	饭他吃	2928.077018339051	-87.88084105348631	19	24
zqy1018	zqy1018	2923.635531927761	31.80339535780407	5	88
tian-tang-6	天塘	2879.402909922266	66.47268736329815	4	40
qingczha	张晴川	2824.799678660136	0.0	0	63
wifiii	wifiii	2806.11533796999	0.0	0	59
liouzhou_101	liouzhou_101	2730.623911920611	0.0	0	114
zerotrac2	zerotrac 🌸	2724.984872975643	-99.45956569007799	46	58
jasonvictoryan	jasonvictoryan	2722.293431753755	0.0	0	11
wnjxyk	Zhi Zhou	2717.476270608537	15.88755667702761	13	101
lucifer1004	吴自华	2713.733671566967	0.0	0	82
zscnash	邹事成	2684.130115119238	0.0	0	21
cuiaoxiang	Aoxiang Cui	2646.427398710725	-40.87522142516028	32	15
lozy219	lozy219	2635.322572943478	98.5622943420868	7	25
noxe	noxe	2634.014552026421	-58.86881474085627	41	21
huangyuyang	ztxz16	2633.946067942292	-33.87913065672743	31	65
daodao-2	daodao	2615.154865245895	0.0	0	52
cksp	lucas110550	2607.892713200866	0.0	0	33
ychzhou	ychzhou	2605.185329367031	76.7582479185331	10	20
lightcml	LighT	2598.595035783399	0.0	0	28
light-cml	LighT	2581.466281745154	6.470445540410388	24	17
smartly	SmartLy	2574.123817604289	0.0	0	12
endlesscheng	灵茶山艾府	2572.437595196344	-26.73023791077927	36	27
w285714	w285714	2567.019862581591	-89.30051529602648	74	50
mingqin-chen	Mingqin Chen	2564.679702183967	0.0	0	30
acst	acst	2550.026814426576	78.90093285898874	12	13
_aki_	aki	2540.953715856541	0.0	0	7
kaizyn	Kaizyn	2532.61814452767	0.0	0	84
thuczh	thuczh	2524.622011063732	149.4685662218329	6	76
fallleaves01	fallleaves01	2523.12488463153	42.24213265403508	20	9
xh286286	redpandabigcat	2521.780868650625	-14.6739213650607	38	37
gao-bie-xian-yu	告别咸鱼	2511.522047882475	0.0	0	10
ezoixx130	ezoixx130	2507.633834097112	0.0	0	14
laekov_prc	laekov	2505.540795910839	0.0	0	37
sleepybag	SleepyBag	2501.507274793631	64.01835249193331	17	55
galaxies	Galaxies	2497.149510620159	0.0	0	12
polonez	Polonez	2487.663602709454	0.0	0	11
yousiki	YouSiki	2486.074998021824	0.0	0	12
lddlinan	82年的muggle	2485.53282374818	46.31284353738427	22	56
suspicious-colden	Suspicious Colden	2480.505909714227	0.0	0	4
yang12138	yang12138	2478.34609239842	0.0	0	14
i_love_xiaoshagua_cpp	Shango	2478.283390983836	0.0	0	5
minori	Minori	2477.289905968928	0.0	0	43
qodjf	qodjf	2469.187522269811	0.0	0	15
lostleaf	lostleaf	2468.153128638768	0.0	0	49
superj	SuperJ	2464.054302314609	144.1887549709557	8	104
heyshb	Avalon	2461.387760310564	-138.8371930249997	190	10
caigogo	caigogo	2459.559641453054	0.0	0	15
xi-jun-xiao-zi	细菌小子	2454.093732598925	-38.76954531336006	64	64
arignote	arignote	2450.27634635449	-51.71725906892554	75	42
logsniper	logsniper	2446.930165530197	0.0	0	17
silmue	silmue	2445.694733215963	0.0	0	25
jinmingli	jinmingli	2445.296278543131	0.0	0	119
htedsv-i	tennkei	2442.172971452109	0.0	0	19
radiancesheep	TinyVii	2440.537283990027	14.85424329553697	37	21
ujimatsu_chiya	Ujimatsu Chiya	2439.753135791485	8.13055149407986	40	35
chelly-6	Chelly	2437.452481115483	0.0	0	12
tuogy	tuogy	2430.624679467675	0.0	0	10
inszva-2	InsZVA	2429.769232006887	0.0	0	20
tryonetry	orrz	2418.78028830968	0.0	0	21
acw_yxc	acwing_yxc	2412.777827964086	0.0	0	12
747929791	747929791	2404.023506011808	0.0	0	8
weak-chicken	树叶烦	2403.453891420956	-16.11360413539152	60	87
oldyan	oldyan	2402.788946400878	2.297680884687304	49	29
hhhyyyfff	hhhyyyfff	2402.788825508182	0.0	0	25
dut200901102	HuJun	2401.191284046071	0.0	0	26
pku_erutan	pku_erutan	2401.039812849123	-0.7098255635584447	51	26
darrenhp	Darren Hp	2398.558285379947	-84.71100809438249	131	109
lxy-tql	Lxy-Tql	2389.908398096683	0.0	0	12
gou-sha	西方哥哥天下第一	2389.777510192974	0.0	0	9
lu-you-guan-guang	旅游观光	2383.808900732194	0.0	0	9
jiangyanerpang	狗傻	2381.221526705892	0.0	0	47
han3000	Han3000	2377.316104243067	-4.3353069575027	58	50
xiaotianrandom	Test	2377.172713101677	0.0	0	21
please_ac	辽北地区第一狠人	2374.755347086448	6.34635019911692	52	60
milesian-c	Milesian	2374.479695302875	146.2259419826892	11	5
jghy53508	jghy53508	2373.823509823947	0.0	0	10
9am	9am	2371.839886000451	0.0	0	36
eureka17	Eureka17	2370.844562079231	48.57219520633347	33	28
han-184	han3000	2367.092305149451	0.0	0	16
caorui	Fighter	2364.71288907709	0.0	0	27
zdragon	zdragon	2359.048959358619	0.0	0	23
cjy-e	cjy	2355.69288915232	0.0	0	10
ddmike	ddmike	2345.122603724202	33.42825356136208	43	82
newhar	newhar	2342.007247878845	79.84330940671961	26	53
maxd-3	Max.D.	2341.081594631848	0.0	0	6
luchy0120	luchy0120	2337.355285254745	31.95143203081951	45	104
yiwiy	YiwiY	2337.166713870772	0.0	0	19
mmmmmmosky	MMMMMMoSky	2336.250905844256	114.9931514413086	18	42
richenyunqi	日沉云起	2334.170182211234	-8.131294925669101	71	33
jianghd1996	Hongda Jiang@PKU	2330.320560114228	0.0	0	31
asdfasdfasdf123123	yukiyukiyukiyukiyuki	2330.141952072691	0.0	0	31
9646516	9646516	2329.78365305294	0.0	0	10
zesen	Zesen	2329.143698346738	0.0	0	8
wangshengyu	周赛稳定前五选手	2327.130567611197	0.0	0	14
shang-jin	尚晋	2322.881677660605	0.0	0	11
tongtongac	tongtongac	2321.028034447225	0.0	0	14
jiayindeng	JiayinDeng	2318.075467036315	-10.08047975075025	77	40
aijmas	aijmas	2314.4565045016	0.0	0	3
sun-man-man	孙慢慢	2314.0630353417	-16.61156805613602	84	99
foxtail	Foxtail	2312.561815982826	65.6764813027381	34	12
amline	YMYMY	2312.049137298877	93.64822998668737	25	34
hewitt_1570	林林坨小仙女	2308.833569614646	135.1285176709181	16	82
ddoudle	Doudle	2308.468101155021	0.0	0	23
scut_dell	字节bpm团队求2-2大佬	2304.253301851792	-214.2498245662274	762	75
cntsmf	cntsmf	2302.680485078236	143.1146622073291	15	7
meramipop	Megumi	2300.934271208437	0.487266077127595	73	15
darkaimagic	darkaimagic	2295.788160887153	6.016176398411595	70	18
wangyurzee7	wangyurzee7	2295.142546215578	0.0	0	6
tutousi	半梦半醒伴忧伤	2292.263655524666	0.0	0	25
lx1374327576	lx1374327576	2291.956015120562	153.1163221650025	14	9
yuiouiop	yuiouiop	2289.255991302732	0.0	0	8
lwpyr	lwpyr	2288.15257919275	-21.00880190718514	97	52
suzyzhang	Suzy Zhang	2287.472933679658	0.0	0	26
xiao-hai-zi-pao	小孩子跑	2284.468401600621	28.45341568494367	57	26
skylines	skylines	2282.722100207762	0.0	0	6
ykx_akks	ykx_akks	2282.434311940669	-84.91348465510433	200	23
dystopiawave	dystopiawave	2280.654896682071	0.0	0	11
tdteach	tdteach	2280.163894787244	97.66934249832079	27	60
_hututu	胡图图	2278.760852767096	-15.0226754815316	94	38
firepaw	Firepaw	2277.83239374465	-2.30823645908564	82	36
zhuynan	Yong-Nan Zhu	2276.319874524667	0.0	0	14
henrylee4	fanhua	2273.2357985503	0.0	0	68
simulated-anneal	Simulated Anneal	2268.037776985358	0.0	0	5
implicit	塔子哥	2266.935899456661	0.0	0	40
knarf	Knarf	2265.089003493202	99.5839637923626	28	37
java14	java14	2264.212238957706	0.0	0	10
simpleson	Simpleson	2262.528614371083	19.85171291448167	68	75
washswang	WashSwang	2259.637713147833	0.0	0	9
chensuim	陈岁	2259.108898311248	0.0	0	38
jialilue	伽利略	2259.039264077604	-23.56505679204012	111	18
ryanwang	ryanwang	2258.574092509968	0.0	0	54
2997ms	2997ms	2255.16339811644	0.0	0	31
hzx-code	H.Z.X	2253.982431498908	0.0	0	37
npuzj	npuzj	2252.629220614305	83.61319667125926	35	32
mecentzzz	Mecent_Zhang	2249.936382778504	0.0	0	15
fried-chicken	炸鸡块君	2248.648111359987	0.0	0	15
apoi2333	Apoi2333🍓	2247.062375874124	32.0378214114406	63	19
sheepv5	sheepv5	2245.695309070774	0.0	0	21
lunaticge	Lunatic	2245.592358475757	-1.962641190192846	92	14
harttle	Harttle	2243.986240087585	4.724857197979043	86	71
zzb111	zzb111	2243.966887092002	0.0	0	10
lmssb	LMSSB	2243.496858524737	0.0	0	13
djqq89djq	djqq89djq	2243.338143141543	0.0	0	83
sqrpi	SQRPI	2241.82662840253	125.575218883035	23	30
angelbeats	angelbeats	2240.200548721134	40.34580856443048	59	41
jl0x61	jl0x61	2240.16659126238	0.0	0	21
fanzhh	fanzhh	2239.635257947482	0.0	0	87
zecong-hu	胡泽聪	2235.899926595187	0.0	0	5
kf11	kf11	2229.135210762671	0.0	0	4
wyj20154348	WYJ20154348	2224.596635239281	42.62454204628406	61	47
ffutop	ffutop	2222.599870612389	0.0	0	18
737	737	2220.843576171858	0.0	0	20
paigulong	RUSH_D_CAT	2220.732978521824	51.7535787637399	56	3
qinqishuhua	慬骐	2220.533458661381	0.0	0	13
sirius	qih	2218.642962929701	0.0	0	43
dreamer-56	Dreamer	2216.758145513012	0.0	0	4
plus2047	plus2047	2216.166688346244	0.0	0	6
he-yu-am	何遇	2215.316707763992	0.0	0	9
chauncylee	chauncylee	2211.418712330344	0.0	0	21
20210329.goodbye-leetcode	已注销	2210.135574451773	0.0	0	12
xaviercai	XavierCai	2209.213220187151	1.72981709841323	101	63
liudehua	汽车维修员	2209.21173146748	0.0	0	8
zhzho	最佳歌手	2206.952787503792	59.80494978177293	54	25
jeremyzhang96	JeremyZhang96	2205.680885461022	19.80201182454274	84	64
goldfish_hcy	goldfish_hcy	2204.889918524412	4.096098761152087	100	17
liuyubobobo	liuyubobobo	2203.671721552061	67.9753457335033	50	66
eastfront	上善若水	2202.511023668992	0.0	0	22
n2hawk	n2hawk	2202.124520216056	0.0	0	26
aging	Aging	2202.070021600032	80.22559568553251	44	44
yupenggu	freegyp	2200.965485908481	30.56962137708373	76	5
perfectpan	PerfectPan	2199.749111044969	0.0	0	72
hn2zzzz1996	hn2zzzz1996	2197.740503246609	0.0	0	18
hangyesheng	hangyesheng	2196.847355332689	0.0	0	10
song-204	forever	2196.713041389694	7.772505895870232	99	33
untitled-4z	Zheng	2195.931891178182	0.0	0	9
iynaur87	Ruan yi	2194.506688718371	0.0	0	20
o0o0o0o0o0	IIIIIIIIIII	2193.843654665602	37.95096261996272	72	67
dxyinme	dxyinme	2190.702186183021	0.0	0	15
fan-cai	凡才	2190.289779148711	-30.06655186314666	153	9
zi-zheng	子正	2189.728659432295	0.0	0	41
613	613	2188.862322377304	0.0	0	4
xyl-5	xyl	2188.535355661987	0.0	0	11
lghlmcl	lghlmcl	2185.750674909285	0.0	0	10
smga	smga	2185.241732678272	0.0	0	12
fireee	fireee	2182.832544510751	49.70063277481366	66	8
suibianfahui	随便发挥	2181.788400628913	-34.1968433433489	165	58
lawliet890	Lawliet890	2180.93834365019	0.0	0	14
kphmd	kphmd	2179.238046579555	9.142110706009895	104	82
sinesu	Sine	2178.001184662685	0.0	0	11
catnipan	塔希洛岛主	2175.634404441497	0.0	0	73
kafuu-chino	chino	2175.240438560297	0.0	0	16
sunsetcolors	夕颜	2174.452407106277	69.33039017928749	55	45
ayaphis	ayaphis	2172.735197485635	-21.78661020006999	149	22
zaq1xsw2tktk-2	zaq1xsw2tktk	2172.485057702359	0.0	0	3
winter_training	winter_training	2171.098732300094	84.93601498547091	47	11
tommyjiang	Tommy	2168.081310927473	60.51915635809164	62	73
kayroger	Kayroger	2166.847849850025	0.0	0	4
marco12	Marco_L_T	2164.189610148163	0.0	0	6
liusandao	刘三刀	2161.244813126488	23.56966415907672	95	76
agoodusername	港府PUA受害者	2161.242904247243	86.4348730383218	48	4
yuan-zhi-b	Justin Yuan	2159.539754750971	0.0	0	23
slinsss	slin	2159.185176246908	0.0	0	28
wincss	wincss	2158.783517621122	21.53916966444248	98	54
glag	gflag	2157.228926234106	54.41177105145798	69	46
neymars	信仰.	2156.657593123069	134.4239741624956	29	76
nanoape	NanoApe	2155.592432762173	0.0	0	4
ghost-37	ghost	2155.159864989649	0.0	0	12
fuwutu	fuwutu	2154.52103232532	0.0	0	36
arsenal-591	火箭少女杨超越	2152.793282491187	0.0	0	31
linsinn	Lin Jiaming	2151.24646866179	0.0	0	20
wengames	wengames	2145.253579915556	-10.09089262999161	145	117
nocilantro	不要香菜	2143.245321667653	0.0	0	37
fffffwl	fwl	2143.108103678286	0.0	0	6
cheniyuan	A爱和I圣殿A	2142.218141841093	0.0	0	23
i-am-what-i-am-o	I am what I am	2141.713231187768	0.0	0	16
linchpin	LincHpin	2140.819048244373	0.0	0	7
phoenix-123	Phoenix	2140.711568065213	0.0	0	40
jules-megumi	Jules めぐみ	2139.800601748633	0.0	0	13
chunjie	Xiaoyuan Yu	2139.687455756912	0.0	0	33
leafblade	叶刃	2138.593771230358	20.27916605520689	107	19
starcosmos	starcosmos	2137.733991797072	0.0	0	12
wangbinquan	wbq	2137.022397201415	0.0	0	18
kpole	今夕	2136.18173510311	0.0	0	5
wangyitiaoyu	wangYiTiaoYu🐟	2136.144434448825	48.01375283674027	80	30
