id	name	rating	delta	rank	competes
int65536	int65536	3367.280151613612	0.0	0	37
heltion	何逊	3157.944964145369	0.0	0	95
lucifer1005	hide on bush	3149.703791375902	0.0	0	59
sfiction	sfiction	3137.513116538445	0.0	0	14
wifiii	wifiii	3136.000466840106	0.0	0	117
johnkram	汪乐平	3120.043372629597	0.0	0	134
lucifer1004	吴自华	3119.631190106498	0.0	0	100
moransky	空	3110.159291287555	0.0	0	30
zerotrac2	zerotrac 🌸	3102.014811878022	0.0	0	81
ayamt	Ayamt	3084.004882899289	0.0	0	22
wlzhouzhuan	wlzhouzhuan	3076.215123823204	0.0	0	17
froggygua	Froggy	3046.508899026248	0.0	0	17
arignote	arignote	3040.260552187943	-38.90738457408944	9	134
ling-jian-2012	灵剑2012	2993.532222148361	40.64472546549253	4	37
renascencepjw0510	shawn	2973.335321690117	0.0	0	17
lucifer1006	牧瀬 紅莉栖	2964.443853164094	161.9405444497589	1	12
tsreaper	TsReaper	2962.691916264663	73.74773134919026	3	28
pku_erutan	pku_erutan	2921.065912161269	0.0	0	93
arubaababa	arubaababa	2916.717350895185	0.0	0	14
qingczha	张晴川	2911.58638102198	123.6718265918736	2	137
jasonvictoryan	jasonvictoryan	2904.786338856452	-1.911211242599087	10	49
asdfasdfasdf123123	yukiyukiyukiyukiyuki	2880.340263242291	0.0	0	50
acw_yxc	acwing_yxc	2856.52233792104	0.0	0	61
shengtongtong	shengtongtong	2852.341169944754	0.0	0	10
pornjoke	Pornjoke	2848.199957468924	0.0	0	23
endlesscheng	灵茶山艾府	2847.093398977683	3.038748636170872	12	94
paigulong	RUSH_D_CAT	2836.437722307805	0.0	0	30
jtjl	JTJL	2812.218786259557	0.0	0	48
ainuyu	Ainu	2788.267335204475	0.0	0	7
cuiaoxiang	Aoxiang Cui	2788.079603371955	0.0	0	86
minori	Minori	2779.620920194635	70.17010741921838	7	104
koishi514	Koishi514	2761.524224462444	65.77398315140984	8	50
kayroger-n	Kayroger	2756.919229187383	0.0	0	11
hhhyyyfff	hhhyyyfff	2753.938567247806	0.0	0	37
liouzhou_101	liouzhou_101	2740.115110996009	-80.56907338215608	51	165
w285714	w285714	2732.794801748214	29.80780586563932	14	138
asapin	饭他吃	2729.447771575855	0.0	0	59
tong-cai-hong	童彩虹	2722.784503556345	0.0	0	16
tiger2005	tiger2005	2712.854199962144	0.0	0	42
ykx_akks	ykx_akks	2711.283098714097	21.10639889975604	17	97
sun-man-man	孙慢慢	2708.012300054627	58.69149755922589	11	188
9am	9am	2706.646754981946	0.0	0	48
zrts	Ruotian Zhang	2703.315359100704	28.97058851314895	16	24
tian-tang-6	天塘	2694.741243771376	0.0	0	83
kybconnor	kybconnor	2685.356111980138	0.0	0	12
heyshb	Avalon	2678.231476805652	0.0	0	54
weak-chicken	树叶烦	2675.109479155202	0.0	0	128
ychzhou	ychzhou	2668.601631292299	0.0	0	55
tonghuikang	涂汇康	2653.113336406088	64.42625120776491	13	90
milesian-c	Milesian	2651.15953843205	37.32635918180275	18	62
lightcml	LighT	2650.194194976315	0.0	0	54
czsnb	czsnb	2650.004925090062	146.6508525237913	5	40
zqy1018	zqy1018	2649.581075968217	0.0	0	124
suspicious-keldyshlkl	daidailanlan	2640.759173918209	0.0	0	7
polonez	Polonez	2639.837986043652	0.0	0	32
yousiki	YouSiki	2637.633106422546	0.0	0	16
tryonetry	orrz	2632.486977334814	0.0	0	30
cola99	Cola9.9	2630.671593015927	0.0	0	7
rgb234rgb	rgb234rgb	2629.93127043023	-2.184822816377086	31	31
i_love_xiaoshagua_cpp	Shango	2628.214290531459	0.0	0	44
xh286286	redpandabigcat	2626.700998263196	-9.120630649343106	34	104
kikokiko	Kikokiko	2619.993081569218	0.0	0	24
noxe	noxe	2618.563470198396	0.0	0	79
inszva-2	InsZVA	2604.554758064427	0.0	0	31
_aki_	aki	2596.94697071905	0.0	0	13
aging	Aging	2592.86695116209	153.3378464517637	6	132
chiro_11	Chiro_11	2585.555749324819	47.24969828903462	21	33
IBle4ivChI	jinzhao1994	2578.346587601104	-88.75363998725076	100	26
hongrock	Hongrock	2574.354602217654	0.0	0	10
bartsun	bartsun	2570.950080032217	0.0	0	25
laekov_prc	laekov	2570.589847994416	0.0	0	40
jinmingli	jinmingli	2569.827596091664	34.00357152218961	26	199
vibrant-mayerhct	Vibrant MayerHCt	2568.725209673619	-99.88682205976595	117	39
setsunachyan	Setsuna	2566.835735426526	0.0	0	21
mingqin-chen	Mingqin Chen	2564.679702183967	0.0	0	30
xyl-5	xyl	2559.7965163026	0.0	0	16
xi-jun-xiao-zi	细菌小子	2558.198475028262	-65.71505741440903	83	144
hust_dhc	子非鱼	2554.075729142032	0.0	0	50
htedsv-i	tennkei	2553.986010131981	0.0	0	59
jianghd1996	Hongda Jiang@PKU	2553.946335722738	0.0	0	75
wa_king	WA_king	2553.63741250014	0.0	0	11
libricardo	libricardo	2546.421358917587	35.65124869626592	28	70
20220309.lyc-x1	已注销	2543.327895914807	0.0	0	9
smartly	SmartLy	2539.237983593325	0.0	0	16
sdcgvhgj	sdcgvhgj	2533.480238065409	0.0	0	38
yang12138	yang12138	2530.775169512929	0.0	0	32
_-_-_-	___	2529.403825632074	21.59740198177936	35	63
linjiale	linjiale	2526.16536221359	0.0	0	79
zscnash	邹事成	2523.846099936829	0.0	0	22
mi-ka-d	米咔	2522.580760256378	74.24143735747482	20	16
bitethed4t	BiteTheDDDDt	2521.893361859075	0.0	0	22
changxingjiang	长行	2521.312892883647	0.0	0	42
gao-bie-xian-yu	告别咸鱼	2511.522047882475	0.0	0	10
li-kou-xiao-bai-be	臨兵鬥者皆陣列前行	2510.636416096957	0.0	0	10
oldyan	oldyan	2508.496095036508	59.28052257734551	25	109
ezoixx130	ezoixx130	2507.633834097112	0.0	0	14
primeg	PrimeG	2503.593048435054	0.0	0	30
