id	name	rating	delta	rank	competes
johnkram	汪乐平	2809.331500348568	81.44049970482456	2	12
arignote	arignote	2783.82781818592	39.69199186747232	4	12
endlesscheng	灵茶山艾府	2685.588901677981	168.6831683754115	1	7
qingczha	张晴川	2590.345819549504	39.95640050388874	10	12
xay5421	xay5421	2562.003421525835	97.34121852755698	5	10
heltion	何逊	2537.076680364165	82.70297968922705	7	6
cpp_template	cpp_template	2516.228700949571	0.0	0	11
ljc00118	LJC00118	2514.837056148309	149.1963939050829	3	5
moransky	空	2509.264228811394	-3.622908758001817	28	11
yawn_sean	小羊肖恩	2502.828037393599	-3.892947340206778	29	14
pku_erutan	pku_erutan	2488.909642849239	37.88478720415264	17	12
liouzhou_101	liouzhou_101	2473.562804429133	-5.117784375740943	34	13
wwwwodddd	wwwwodddd	2471.973685402728	0.0	0	8
milesian-c	Milesian	2450.314309470626	81.56810058276665	11	14
jasonvictoryan	jasonvictoryan	2448.804227282682	0.0	0	7
ujimatsu_chiya	Ujimatsu Chiya	2434.061058560591	35.6280814928009	23	14
vibrant-mayerhct	Vibrant MayerHCt	2413.985163953269	-33.88346389987646	68	13
aging	Aging	2411.196741146336	89.26244890705652	12	13
tsreaper	TsReaper	2399.504386489058	-11.42920643566595	53	14
cuiaoxiang	Aoxiang Cui	2395.885004813747	40.15786523964516	26	10
xuxiaohu	长夜	2383.173523354584	-1.805193301191824	50	10
minori	Minori	2380.059803058793	128.9771769945989	8	11
xh286286	redpandabigcat	2359.004673893129	92.042676160263	15	13
ab__c	ab__c	2356.247791386384	51.23055866700861	27	11
qqwqert007	qqwqert007	2344.364994398423	-2.896154345030485	61	13
lucifer1006	牧瀬 紅莉栖	2332.559710984908	36.95183906848433	37	14
w285714	w285714	2326.479086730757	-76.10958667736531	183	14
sdcgvhgj	sdcgvhgj	2323.231180329068	32.81067972432425	41	9
jinmingli	jinmingli	2309.204669810654	-8.746269757261647	78	12
czsnb	czsnb	2299.371785018076	46.55056503531614	38	11
sun-man-man	孙慢慢	2278.673708455611	157.8650015977814	9	14
