id	name	rating	delta	rank	competes
cjycleaner	Relaxed Visvesvaraya	2626.61438404561	37.7012150061316	4	12
johnkram	汪乐平	2566.582911132124	108.2035879196187	2	8
endlesscheng	灵茶山艾府	2547.043520731057	-2.492561679314385	10	11
py-is-best-lang	PyIsBestLang	2507.306680629363	98.38258842237857	3	7
tsreaper	TsReaper	2481.807535377686	12.52484367405597	11	13
pku_erutan	pku_erutan	2462.248529471485	0.0	0	11
yaobig-2	YaoBIG	2452.055958247936	-0.03629919619405797	15	9
sserxhs	SSerxhs	2410.353605972696	94.89128307904613	5	5
cuiaoxiang	cuiaoxiang	2392.4364750523	0.0	0	10
ujimatsu_chiya	Ujimatsu_Chiya	2387.805835391403	32.36883366033859	13	14
lucifer1007	凤凰院凶真	2374.783056900389	82.69094215135303	7	12
e9ae9933	诺艾尔-柯涅尔	2372.266516681686	32.23352237005562	14	14
w285714	w285714	2358.300304635178	99.973794416564	6	14
liouzhou_101	liouzhou_101	2346.391015922725	52.66879312901639	12	9
heuristic-black3ze	nerver_mind	2310.283383374398	0.0	0	4
gooday-3	gooday	2277.151681046721	0.0	0	12
jinmingli	jinmingli	2258.431692109139	-13.57565305739698	43	11
qingczha	张晴川	2254.94088859575	-193.4742795440084	450	9
ruiko	佐天泪子 🌼	2234.003283659144	14.97299539259844	33	5
jialilue	伽利略	2226.36847095743	-28.48316190568747	60	9
meyi	AG超会鲁_电辊0tt0	2217.375278170953	63.12112088078945	19	7
vibrant-mayerhct	Vibrant MayerHCt	2213.496316578252	0.0	0	6
hongrock	Hongrock	2209.87003783329	0.0	0	7
lddlinan	别问问就是数学	2202.353666990665	-33.55911793892282	71	9
ywwbill	ywwbill	2191.962824759628	64.35279429211388	21	12
gradesking	Gradesking	2189.934865313889	130.3944437378536	9	14
yawn_sean	小羊肖恩	2187.018538381057	300.0403006706856	1	2
darrenhp	Darren Hp	2181.188576885544	10.73879216619795	44	14
htedsv-i	tennkei	2164.518680512121	-27.34469146037899	77	7
freeyourmind	不造轮子	2163.223864857923	90.9288641938185	17	13
some_idiot	some_idiot	2162.261214645896	-167.4436055941533	459	11
sysulby	Beiyu Li	2160.444913048188	-11.49794399644637	64	11
nafnil	love_Cpp_Python	2159.876018019668	0.0	0	10
hhhyh	未来史蒂夫	2159.855959187598	11.21573986414406	48	8
newhar	newhar	2150.84545755057	0.0	0	11
icepeach	冰心水蜜桃	2147.987898485497	0.0	0	4
qian-li-ma-8	千里马	2147.083831802509	101.4555672492326	16	7
fatalerror-i	FatalError	2138.837983530474	158.4965755212685	8	12
yin-xing-mai-ming-zhu-m	隐姓埋名丶M	2134.02553965503	74.44945939671194	24	13
superj	SuperJ	2132.857080623865	0.0	0	8
zlpiscoming	zlpiscoming	2128.740019249889	0.0	0	6
qiuyuexiaosan	秋月真理奈	2122.611832318453	0.0	0	6
ting-ting-28	听听	2121.531960539639	0.0	0	9
xinxinran	欣欣然	2120.334682307283	0.0	0	8
fuwutu	fuwutu	2116.175968873869	0.0	0	12
xi-jun-xiao-zi	细菌小子	2111.116615474411	-109.450526422669	270	14
cuiwanyun	cuiwanyun	2110.018751967647	0.0	0	8
00zi-jian	00子健	2101.238217293259	-18.57906824151704	90	14
gongshuisanye2	宫水三叶2🎈	2096.47357994768	-34.4169308959379	112	10
goldenwind	重拳出击	2096.374749508537	102.330249543205	20	11
summerdaway	summerdaway	2087.809510683152	-218.9161716314094	1134	14
lee0560	lee0560	2087.466197410454	-17.44082835871203	94	10
gcasd001-e	gcasd001	2079.704973182448	76.20741586929452	30	6
mikeac	醉里挑灯看剑	2078.007464261643	-37.74501520990047	126	14
infallible-i3anach5b9	雪景式	2075.124029342013	-76.72484029027092	207	8
tian-tang-6	天塘	2074.933075187496	0.0	0	5
xiao-ming-zhi-hui-zuo-shui-ti	小明只会做水题	2073.605144096647	83.88711495509503	28	13
han3000	Han3000	2073.031247699677	-28.07111864793504	114	11
tong-cai-hong	童彩虹	2070.191501085396	0.0	0	9
liu-jia-jie-e	风雪	2060.638730522629	107.835838529113	22	14
sun-man-man	孙慢慢	2058.455615091111	-97.33008603936847	285	14
fzldq	Fzldq	2058.446742800018	58.86013625172356	41	9
rezero123	ReZero	2058.17334306375	0.0	0	11
pandaforever	pandaforever	2053.332856650862	97.15963240088055	26	4
lxhgww	lxhgww	2046.990170079365	0.0	0	5
fsj-o	fsj：	2046.178361186357	14.64644786538505	75	7
determined-euclidvw3	音箱蟀侠	2045.283918461273	0.0	0	3
rgb234rgb	rgb234rgb	2044.948417577421	54.4104814743217	46	9
paigulong	RUSH_D_CAT	2044.778649751919	29.17048929982362	63	4
milesian-c	Milesian	2043.600070910515	0.0	0	10
1838641320	王老吉改名加多宝	2042.928970562099	0.0	0	7
lucifer1006	牧瀬 紅莉栖	2041.517577919587	0.0	0	2
yvbf	于冰凡	2040.688000017888	0.0	0	5
knarf	Knarf	2040.561354192197	0.0	0	11
tonghuikang	涂汇康	2034.642344469232	87.30735458251067	32	13
jyf111	jyf111	2033.035494288488	0.0	0	5
