id	name	rating	delta	rank	competes
liouzhou_101	liouzhou_101	2671.389337388505	81.58273609398698	1	19
darrenhp	Darren Hp	2391.556134058769	-10.06512057627723	5	10
johnkram	汪乐平	2319.101087834877	0.0	0	5
caigogo	caigogo	2270.06663900119	50.38534448130255	4	9
mingqin-chen	Mingqin Chen	2215.511228739424	-24.51825525693224	11	12
jinmingli	jinmingli	2213.772851776933	17.40662170555876	7	17
wnjxyk	Zhi Zhou	2211.232280930905	133.5647125515875	2	5
arco	Arco	2205.091493490465	-70.96874000797359	19	13
lu-you-guan-guang	旅游观光	2190.291901753883	0.0	0	7
luchy0120	luchy0120	2180.428436135868	42.53902734662457	6	17
sirius	qih	2155.430432943358	0.0	0	15
chauncylee	chauncylee	2134.476099914768	0.0	0	11
ryanwang	ryanwang	2123.04983564649	0.0	0	14
hewitt_1570	林林坨小仙女	2119.05672004866	0.0	0	9
hangyesheng	hangyesheng	2118.476562620076	0.0	0	6
jl0x61	jl0x61	2090.655838221775	25.77003526071663	10	9
chensuim	陈岁	2047.392282576188	0.0	0	13
g00dm0rning	g00dm0rning	2006.500471671432	0.0	0	4
simonwux	simonwux	2003.473902711392	0.0	0	13
xlj0826	xlj0826	2002.640536000034	0.0	0	15
smoon1989	刘岳	1989.077729583067	43.37409389942555	12	20
ningwei	宁伟	1981.918279592498	0.0	0	6
jiang-hai-ji-yu-sheng	江海寄余生	1973.70222234177	0.0	0	5
qinggniq	WangCong	1957.014737843602	0.0	0	10
shiyinong	老哥哥	1955.011528761145	0.0	0	15
stormsunshine	Storm	1954.606393729734	17.83900975275841	18	19
stonehank	stonehank	1949.112315011472	94.76143847101964	8	19
wentian	wentian	1942.487797918596	0.0	0	12
perfectpan	PerfectPan	1938.982990487704	0.0	0	11
scut_dell	字节bpm团队求2-2大佬	1931.242356787851	56.03192669464121	13	3
wengames	wengames	1923.075647782159	0.0	0	13
zhui-feng-hun-zi	追风混子	1922.242990837035	0.0	0	17
daodao-2	daodao	1919.544868216168	198.2780352663245	3	2
ljian	Jian	1916.432240362829	0.0	0	9
lisanaaa	Lisanaaa	1912.258285004662	43.39063847782969	16	6
glen-3	Glen	1901.225971007221	21.85429247527153	21	15
wangbin2360	选牌	1900.749469017955	0.0	0	18
laekov_prc	laekov	1900.355905938258	0.0	0	3
miaopass	miaopass	1899.264537863171	0.0	0	3
fosters	fosters	1885.643939799451	-12.33617631695919	32	7
zerotrac2	zerotrac 🌸	1882.31670346478	0.0	0	5
mysdb	MYSDB	1880.785757115232	0.0	0	7
zoucharming	ZouCharming	1878.592438190394	0.0	0	13
temle	temle	1878.554966406119	109.7460870763726	9	4
dut200901102	HuJun	1866.415158523689	0.0	0	4
zqy1018	zqy1018	1862.958464077521	0.0	0	6
hetao	核桃	1861.506706599428	-17.98493311693634	37	17
resara	resara	1857.298129639115	0.2724338433774482	31	14
613	613	1857.120871151577	0.0	0	2
hhhyyyfff	hhhyyyfff	1855.895884684948	0.0	0	4
rockstar	rockstar	1851.039460177631	71.57093330486073	15	5
ghouyl-2	ghouyl	1849.975550268512	-26.25091678602022	42	15
leepfy	leepfy	1847.722597622939	24.08547585955281	25	15
jiayangwu	Celia	1841.293123037021	-16.24998955452865	39	19
neomao	neo猫	1840.099281781807	9.323431700684942	30	12
taoyouh	TaoyouH	1835.582283109826	0.0	0	5
isaiah	Long Qian	1833.912451219448	0.0	0	6
user7612p	Love of red moon	1832.950350852632	-5.733267370139893	36	10
heltion	何逊	1832.447079189798	0.0	0	2
xiebei	MutexLock	1828.592860509083	0.0	0	9
mikusugar	Lain	1826.774677213043	-0.9068137305508026	35	20
im0qianqian	千千	1826.094831336963	0.0	0	5
withod0	Withod	1821.240294463732	0.0	0	6
time-limit	自在飞花	1820.292105125416	0.0	0	4
yoyoyo-3	yoyoyo	1818.989502226039	0.0	0	12
feng-huo-zhi-zhong-ran	烽火之重燃	1818.470777536701	0.0	0	8
henry-niu	Henry-Niu	1815.466247241726	0.0	0	4
ghost_liu	微软真尼玛香	1806.66171008561	0.0	0	12
sortmin	Wang Wenyu	1796.722170528734	0.0	0	4
ln19922	ln19922	1794.607838684868	0.0	0	8
goddice	God Play Dice 🎲🎲🎲🎲	1793.852656725795	0.0	0	7
shcs1375	shcs1375	1793.777069361544	0.0	0	7
minori	Minori	1791.826970026098	0.0	0	2
percy	ban peng	1791.703284612216	0.0	0	6
lai-lu	艾卡西亚暴雨	1791.575630369688	0.0	0	8
zintrulcre	Zhengyu Chen	1791.332442908059	-1.752129425566786	40	19
flyinglu	FlyingLu	1789.349727228694	0.0	0	10
hnshhslsh	hnshhslsh	1786.582741721015	0.0	0	7
cosecoder	CoseCoder	1782.542192180969	0.0	0	5
