id	name	rating	delta	rank	competes
johnkram	汪乐平	3273.079088517913	100.064211843779	1	39
heltion	何逊	3086.042960641068	0.0	0	28
ljc00118	LJC00118	3032.967564289604	0.0	0	17
endlesscheng	灵茶山艾府	3023.012414183546	-125.7213038218541	33	33
arignote	arignote	3015.715481824871	-125.5987514631791	34	52
wwwwodddd	wwwwodddd	2960.001461916481	0.0	0	27
qingczha	张晴川	2921.683510281173	0.0	0	41
jasonvictoryan	jasonvictoryan	2886.799055363501	0.0	0	26
liouzhou_101	liouzhou_101	2864.183507463429	99.97156289826347	4	51
pku_erutan	pku_erutan	2857.216439899955	69.20287046173706	6	44
cpp_template	cpp_template	2855.33783718784	0.0	0	28
moransky	空	2846.747596946233	10.00005341545847	13	28
xay5421	xay5421	2834.013458455874	-91.32450809418157	48	23
fan_of_emptyhope	fan_of_emptyhope	2803.365228174667	0.0	0	28
aging	Aging	2793.360065111115	105.3467052505775	5	46
meyi	zankizero	2785.880028713674	80.50057164801791	7	35
milesian-c	Milesian	2752.300702830553	30.05430753113859	15	53
venn-4v8	VmVmV	2743.004695913588	0.0	0	7
oldyan	oldyan	2730.826294273592	55.45032608809987	12	21
cuiaoxiang	Aoxiang Cui	2728.625379363315	0.0	0	47
ruimina	大熊猫趴树上	2723.409795650055	0.0	0	27
chiro_11	Chiro_11	2719.637616460915	0.0	0	16
yawn_sean	小羊肖恩	2717.957154053202	-68.38671369151058	58	54
ujimatsu_chiya	Ujimatsu Chiya	2717.649991382949	7.051648978743007	23	54
ab__c	ab__c	2698.927923150206	53.82343721148658	14	33
wifiii	wifiii	2690.653557635662	0.0	0	9
xuxiaohu	长夜	2685.240665362637	1.930524999054516	28	44
lucifer1006	牧瀬 紅莉栖	2676.189097210307	89.15376315138491	10	53
minori	Minori	2669.320655034684	1.64653532700817	30	37
tian-tang-6	天塘	2655.888553911147	0.8774864505452946	32	20
tsreaper	TsReaper	2648.885764084756	-26.61962372306453	46	54
qqwqert007	qqwqert007	2639.272409195387	37.31185116630485	22	45
asapin	饭他吃	2628.744759654453	0.0	0	12
vibrant-mayerhct	Vibrant MayerHCt	2621.206787630375	-64.28902726868347	81	52
rhodoks	第三神圣绿罗马共和国	2617.56602415283	0.0	0	12
jtjl	JTJL	2608.91067009843	0.0	0	7
hongrock	Hongrock	2599.648609301349	-33.6461389396564	61	25
7ucid-herscheld6u	jiangly	2594.120817661839	0.0	0	5
tiger2005	tiger2005	2581.467300135036	0.0	0	19
jinmingli	jinmingli	2579.680501939407	2.141308422284684	43	46
981377660lmt	草莓奶昔🍓	2575.767913938122	133.43445642357	9	38
juang11	Juang	2572.415759858813	0.0	0	27
paigulong	RUSH_D_CAT	2570.455158107883	0.0	0	25
cksp	lucas110550	2569.89947656159	0.0	0	27
xh286286	redpandabigcat	2566.602376402354	-54.33056604066252	89	39
sdcgvhgj	sdcgvhgj	2565.578193317797	-50.13762295610496	85	32
czsnb	czsnb	2563.223180313462	0.0	0	48
merlininice	可信编程小能手	2563.162451526843	11.70679883484894	41	33
megurine	5cm/s 🌸	2559.475893161169	21.54016720052363	37	36
acfinity	Luka	2554.755318670937	0.0	0	15
shengtongtong	shengtongtong	2553.829608441497	0.0	0	24
skqliiiao	SkqLiiiao	2553.666299145217	0.0	0	15
shawnxi	Shawn	2549.405835261955	72.33682509973659	21	54
kpole	今夕	2548.061120482384	0.2006598793081515	50	43
rgb234rgb	rgb234rgb	2542.454553656977	128.770646704715	11	41
walk-alone-a	walk alone	2536.414367416843	0.0	0	16
yzh-x5	yzh	2535.210854938349	0.0	0	27
mi-ka-d	米咔	2530.144537158792	0.0	0	10
