id	name	rating	delta
zqy1018	zqy1018	2329.756285257102	187.60485968903953
lucifer1004	吴自华	2308.949113330136	149.20773161600522
liouzhou_101	liouzhou_101	2303.2061195266306	0
qingczha	张晴川	2253.8881291113858	-16.175044165244614
heltion	何逊	2248.5816188140343	99.21265613210672
zerotrac2	zerotrac 🌸	2234.188744423886	65.5531105222553
tian-tang-6	天塘	2201.3551350600374	0
johnkram	汪乐平	2195.9460994350375	0
wifiii	wifiii	2157.992735205136	-18.15985025899458
fallleaves01	fallleaves01	2143.4955014551356	58.606653491005275
jasonvictoryan	jasonvictoryan	2131.6015182043584	7.496686741782881
suzyzhang	Suzy Zhang	2125.1584900488856	28.78221489725543
jtjl	JTJL	2123.1034727125757	0
light-cml	LighT	2111.0393174815076	37.46693746463366
asapin	饭他吃	2103.3503602169158	0
wnjxyk	Zhi Zhou	2098.7269612988857	50.16640364725545
smartly	SmartLy	2096.0725670875754	0
npuzj	npuzj	2094.829891142636	127.9226538035054
arignote	arignote	2087.881356923886	29.746878022255217
wyj20154348	WYJ20154348	2065.1935345801357	55.530330366005344
pku_erutan	pku_erutan	2065.126359690589	69.21978525555183
ddoudle	Doudle	2063.459252705136	115.45637224100535
ykx_akks	ykx_akks	2062.624128984093	178.85313596204782
luchy0120	luchy0120	2059.0532856439286	-52.39857069778763
xh286286	redpandabigcat	2057.1871827940076	60.467852152133744
sun-man-man	孙慢慢	2048.417630205136	89.36058474100544
ddmike	ddmike	2045.3818998926358	20.927375053505287
noxe	noxe	2043.9849818500072	201.10104309613388
asdfasdfasdf123123	yukiyukiyukiyukiyuki	2042.8752606738858	53.86294427225535
jinmingli	jinmingli	2035.7822919543582	-2.761447008217303
ujimatsu_chiya	Ujimatsu Chiya	2025.3112272363858	48.58545770975543
lddlinan	82年的muggle	2023.212524267636	40.79765067850549
darrenhp	Darren Hp	2020.5168573926358	-33.6522124464946
endlesscheng	灵茶山艾府	2014.669586818175	124.36787812796621
cjy-e	cjy	2009.7909992141306	0
_dup4	Dup4	2003.6722389016304	0
superj	SuperJ	2001.6135534863859	156.6793514597553
simpleson	Simpleson	2000.9709947363858	95.29925020975539
acst	acst	1999.360204267636	56.363160678505395
cksp	lucas110550	1994.5733550640343	47.055189882106745
newhar	newhar	1993.9496922668584	20.323442679282905
w285714	w285714	1988.6881707260857	0
lostleaf	lostleaf	1988.5435621905892	69.94122275555192
lozy219	lozy219	1980.954634318175	111.50744062796635
darkaimagic	darkaimagic	1978.2461953155891	109.53339963055176
galaxies	Galaxies	1974.7344729641304	0
polonez	Polonez	1967.1720432167162	0
minori	Minori	1965.5011498926356	75.04412505350531
please_ac	辽北地区第一狠人	1965.2371558301356	101.13863911600522
henrylee4	fanhua	1964.6860750236135	139.52119992252773
nociiantro	nocilantro	1958.7488451516303	0
eureka17	Eureka17	1957.6082231418739	0
jialilue	伽利略	1955.8399835168584	58.530921429282856
angelbeats	angelbeats	1954.5714214551358	200.41658349100538
catnipan	塔希洛岛主	1953.396969318175	139.88953562796604
yang12138	yang12138	1952.2176609985042	192.21374394763706
harttle	Harttle	1943.5944041113858	6.398910834755341
xi-jun-xiao-zi	细菌小子	1938.5495560891304	0
weak-chicken	树叶烦	1938.0206639551357	-25.702749008994644
radiancesheep	TinyVii	1935.4082920266303	0
737	737	1927.2722542928993	0
fanzhh	fanzhh	1925.4498878361135	37.914437110027805
kaizyn	Kaizyn	1925.0500630428992	0
htedsv-i	tennkei	1923.7728288140345	165.50329613210687
cuiaoxiang	Aoxiang Cui	1923.3384488315282	26.91858611461278
xiao-hai-zi-pao	小孩子跑	1922.2215270801357	-49.647002133994576
panpeng	驶向海洋	1911.5274480176358	-19.920623071494717
linjiale	linjiale	1909.3271753361134	54.14495961002781
firepaw	Firepaw	1909.1181486902087	0
sheepv5	sheepv5	1904.5966431850372	0
_aki_	aki	1904.2062017928993	0
untitled-4z	Zheng	1903.2949845801359	-16.162329633994702
oldyan	oldyan	1903.1953344238857	-37.286029477744634
aijmas	aijmas	1901.76649953668	0
liuyubobobo	liuyubobobo	1900.3508924431749	69.72975250296629
chelly-6	Chelly	1899.660367097976	0
heyshb	Avalon	1899.6023670366799	0
tryonetry	orrz	1897.8291480428993	0
tongtongac	tongtongac	1896.2115202445202	58.081234701620886
liusandao	刘三刀	1891.5198847069441	190.37757023919704
amline	YMYMY	1891.087544651199	65.807020294942
smga	smga	1890.7202901010858	0
jghy53508	jghy53508	1890.3475095122733	29.142465433867827
dkyyy	dkyyy	1887.8188032496919	291.88618169644946
thuczh	thuczh	1883.4211078361134	4.3884071100278135
yuan-zhi-b	Justin Yuan	1883.0269348926358	17.605190053505297
tdteach	tdteach	1881.5711965655892	46.98021838055202
jianghd1996	Hongda Jiang@PKU	1879.915420998504	92.54813394763694
wincss	wincss	1878.5791280176359	51.89439692850529
implicit	塔子哥	1877.3862814945203	64.23355345162095
scut_dell	字节bpm团队求2-2大佬	1874.810608540524	0
han3000	Han3000	1874.1516775793582	-21.10356263321721
leo934524	Leo	1870.9078845801357	42.51276036600537
lwpyr	lwpyr	1870.6227803613858	34.48202458475539
jiangyanerpang	狗傻	1870.4505064945201	108.48726845162089
fr35h1nd	Freshwlnd	1869.3234628155892	33.780262130552
jeremyzhang96	JeremyZhang96	1868.8064739551357	79.61527099100529
iynaur87	Ruan yi	1868.7301021690075	22.192402777133637
xyqkoala	xyqkoala	1867.9691862988857	76.71383864725529
liuliuii-m	LIULIUii	1867.6114355680625	0
xzqforever	xzq	1867.3205397363856	55.325285209755364
shang-jin	尚晋	1866.7216389513567	78.25856599478432
_hututu	胡图图	1861.358620568175	138.07102437796613
ziheliu	zihe.liu	1860.916820091716	0
linchpin	LincHpin	1860.7740942720454	0
stormsunshine	Storm	1858.6737134863859	56.27949145975545
acepted	Accepted	1858.6055525640345	146.84187238210683
wengames	wengames	1856.778064378089	80.03022056805192
hewitt_1570	林林坨小仙女	1856.423847151199	65.99923779494209
kf11	kf11	1855.3909802169155	0
_anicca	_anicca	1855.136175048886	78.61515989725531
zy_	zy_	1854.6429107260858	0
mickeyandkaka1	TikTok内推欢迎私信	1852.572193951357	99.37725099478435
fried-chicken	炸鸡块君	1849.694319597976	0
tutousi	半梦半醒伴忧伤	1848.6178105220454	0
cppowboy_i_am_back	Cppowboy_I_am_back	1846.6954792141305	0
logsniper	logsniper	1842.1944986902088	0
everything_now	everything_now	1839.8276680220454	0
kphmd	kphmd	1838.9254135891304	0
apoi2333	Apoi2333🍓	1837.928743753089	95.29776119305195
slinsss	slin	1834.2565697720586	25.673725174082577
arsenal-591	火箭少女杨超越	1833.7477784564287	26.30700648971238
kobeduu	KobeDuu	1833.738599466716	0
hughstudy	Hughstudy	1833.0756629641305	0
feibilun	Bilun Fei	1831.6472342720456	0
ychzhou	ychzhou	1831.5019137538732	0
simulated-anneal	Simulated Anneal	1826.51747780895	0
zxmrlc	星芒	1826.3649696690075	9.607315277133537
zhenfisher	嘎嘣脆	1824.6855819238858	-3.183556977744658
20210329.goodbye-leetcode	已注销	1824.3880003089498	0
kouei	Kouei	1822.400836565589	54.9156483805519
song-204	forever	1821.9350206486133	23.70234429752766
hxlll	HXLLL	1819.81452203668	0
yqdjl6	yqdjl	1818.5264932622733	120.6558316838678
yan-hai-she	广海涉	1817.924618330136	84.71556661600535
coolli	cool里	1817.2274832517537	174.1018716943874
knarf	Knarf	1816.2491233590933	-26.541738412952142
cui-xiao-jun	崔小钧	1815.7653157043583	140.6703192417827
chang_you_ren	chang-you-ren	1811.4225075640345	72.30412738210676
sunjc-3	SunJc	1811.2928471090931	66.53252783704791
lizju	lizju	1810.662774944206	112.82366000193527
zhzho	最佳歌手	1808.3013451010856	0
neymars	信仰.	1807.7429472414105	61.224527704730534
_tim	Tim Zheng	1806.9625657622735	37.558629183867836
2997ms	2997ms	1806.6295925030893	52.032112443051986
songyangji	别教我玩游戏	1806.2670798926358	51.05031505350537
hao-shou-bu-juan	皓首不倦.GRH	1805.9270371090934	-23.32838216295208
lyhshang	汉堡喵	1804.5062926275455	55.73196231859568
zdragon	zdragon	1803.3760992720456	0
_o-_-d	_(•̀ω•́ 」∠)_	1802.5242858590932	38.294879087047846
minghuiw	minghuiw	1801.5767748391304	0
lianyoucat	lianyoucat	1801.2187174442058	143.38033750193523
leafblade	叶刃	1798.9672752051358	133.92094974100536
half-empty	倚楼听风	1798.6609092141305	0
xiao_tian_svip	xiao天	1795.9172852445204	51.75884970162083
angry-varahamihiraroa	zsyzgu	1795.8308645508673	0
wangzz15	wangzz15	1793.5664687689286	70.80762617721241
cushion	cushion	1792.8987198391305	0
theoroi	Theoroi	1791.9730635891306	0
ryanhe312	ryanhe312	1790.7200836902089	0
lfwzc	_xyz	1789.7006375488859	48.460817397255326
sunsetcolors	夕颜	1788.2795747414104	92.38823020473053
zhou-zhou-36	周周	1786.4814352340932	17.129809712047816
huangyuyang	ztxz16	1786.3463959586277	0
zzq-_-	zzq	1784.7574362530893	50.87544869305198
tommyjiang	Tommy	1784.6513102051358	1.8384747410054416
changxingjiang	长行	1783.618018693175	113.50398625296619
regendsy	RegenDSY	1782.8346479641305	0
chunjie	Xiaoyuan Yu	1782.6990445508673	0
nigge	Nigge	1782.5439378361134	93.91428711002762
fkx1998	fkx	1780.8088555428992	0
hum	hum	1780.147643141874	0
yuzu_sofa	际_语	1779.7877564551359	-17.471621508994573
jklp2	jklp2	1779.7476422363857	21.2459927097553
c_czl	c_czl	1779.289914944206	34.59663000193514
chiholam	ChihoLam	1779.0682552051358	43.11314974100533
dirtysalt	dirtysalt	1778.7482494996918	73.43256544644937
soulshooter	soulshooter	1778.2500770763568	134.0037778697843
foreverhighness-meow	永远的殿下	1777.7001502340934	61.09176471204792
user1428i	Gi Gang	1776.9690144238857	22.604410522255264
wxuanhe	wxuanh	1776.8483859985042	-5.2399710523631455
juny1he	Xiaochuan Sun	1776.6163800030893	79.79237494305194
ruizhehou	richardhou	1776.5674402051357	-1.0068952589946747
haku-less	HaKu	1775.7228870122733	76.6809979338678
annachiang	Anna	1775.189962815589	76.22206213055195
zhanhaosen233	haosen zhan	1774.662411792899	0
xiaok0707	xiaok0707	1774.2902417141304	0
weiyanthor	weiyanthor	1772.8131393562571	0
dsjaklg	Veg_Chik	1772.0024938140343	17.294351132106684
xaviercai	XavierCai	1771.7500586902088	0
orangezeit	白行知	1771.6987714016304	0
leetchunhui	iknowidontknow	1771.5542294238858	95.96905552225537
dabien1	里扣王	1771.5068277340933	67.01764721204786
mei-qian-chi-bai-cai	fangtanchen	1770.50107652723	131.87995841891103
