id	name	rating	delta
int65536	int65536	3210.280988719218	0
arignote	arignote	3011.1453801070647	71.1396458209933
johnkram	汪乐平	2969.168287419072	27.04215850898546
wifiii	wifiii	2951.6219684479615	0
heltion	何逊	2875.3685856884035	23.880260239654227
sfiction	sfiction	2849.750370216928	0
lucifer1004	吴自华	2826.0539253444945	0
froggygua	Froggy	2817.7360051416076	100.59171078644995
tian-tang-6	天塘	2813.2241626376294	0
ayamt	Ayamt	2810.5885771404573	0
wlzhouzhuan	wlzhouzhuan	2768.576264706571	-22.967238778513128
tiger2005	tiger2005	2761.2275482189575	-82.45781229089975
tsreaper	TsReaper	2757.1919225588053	-120.35650663074743
asapin	饭他吃	2755.8144899437125	0
liouzhou_101	liouzhou_101	2733.0191384232335	48.038577504824126
endlesscheng	灵茶山艾府	2706.013048736679	0
sdcgvhgj	sdcgvhgj	2699.458119676901	0
heyshb	Avalon	2698.4760972635313	0
jasonvictoryan	jasonvictoryan	2693.2952528791984	0
acw_yxc	acwing_yxc	2680.640959254204	0
cuiaoxiang	Aoxiang Cui	2670.749184372167	34.440731555891
paigulong	RUSH_D_CAT	2670.500223813743	0
jtjl	JTJL	2657.307706788418	0
moransky	空	2654.075419344272	-35.3439734162146
zqy1018	zqy1018	2650.007486867239	-23.885510939181394
oldyan	oldyan	2649.736389972278	-12.346454044220573
lucifer1005	hide on bush	2638.7730547718047	-75.27309884374704
vibrant-mayerhct	Vibrant MayerHCt	2636.6655305499808	32.51551537807696
sserxhs	SSerxhs	2629.58756739838	0
ainuyu	Ainu	2623.701866872795	0
arubaababa	arubaababa	2614.955536640593	0
rgb234rgb	rgb234rgb	2607.4842187646627	0
zerotrac2	zerotrac 🌸	2607.159168203449	0
radiancesheep	TinyVii	2603.4995118066404	277.8956641214176
kybconnor	kybconnor	2602.086373366329	84.41253256172872
hhhyyyfff	hhhyyyfff	2598.4697274833757	0
w285714	w285714	2571.7605460885366	-89.43284016047919
ykx_akks	ykx_akks	2552.0215132317035	-22.818387303645558
xi-jun-xiao-zi	细菌小子	2545.6577624888714	71.16481343918595
qingczha	张晴川	2545.505794348362	-12.329748420304478
tong-cai-hong	童彩虹	2544.2489715278766	0
maskray	meowray	2528.66642688119	0
setsunachyan	Setsuna	2527.1351265464828	0
ling-jian-2012	灵剑2012	2525.107353295231	-66.2524673671733
jinmingli	jinmingli	2524.4135626171405	94.18961331091687
htedsv-i	tennkei	2522.0727061335406	-88.489500205483
pku_erutan	pku_erutan	2512.5125669008235	0
czsnb	czsnb	2507.281466823965	142.1735091040932
cola99	Cola9.9	2497.650524881895	0
lozy219	lozy219	2491.8928320797327	0
lddlinan	82年的muggle	2487.2595131874036	-102.31494725934617
hongrock	Hongrock	2485.9110264785713	0
