id	name	rating	delta
wifiii	wifiii	2585.156697682816	0
tsreaper	TsReaper	2557.1105325618278	81.57657797510412
lucifer1004	吴自华	2525.2229522323146	0
arignote	arignote	2465.925468593947	-64.72714805701457
endlesscheng	灵茶山艾府	2455.4832124445284	0
johnkram	汪乐平	2436.115603445474	-92.9518729085414
liouzhou_101	liouzhou_101	2436.098936514976	30.126614021956364
ujimatsu_chiya	Ujimatsu Chiya	2430.794624113098	46.05961642383409
vibrant-mayerhct	Vibrant MayerHCt	2405.7449475050794	-17.875756968147464
int65536	int65536	2391.991146905312	0
oldyan	oldyan	2376.6164552159266	-13.840064678994386
ykx_akks	ykx_akks	2355.7366435232075	100.99478701372438
zerotrac2	zerotrac 🌸	2349.963556034148	0
lucifer1005	hide on bush	2348.815982493954	132.62733804297818
jasonvictoryan	jasonvictoryan	2334.6182978711486	0
w285714	w285714	2332.7207519652397	59.26550857169242
heltion	何逊	2327.791487258273	0
heyshb	Avalon	2321.0950674640626	0
jinmingli	jinmingli	2314.3378558644545	-59.4403053275223
kybconnor	kybconnor	2311.9821465309333	196.54981400599877
tiger2005	tiger2005	2285.0763779472	257.8072725897323
sun-man-man	孙慢慢	2284.969576762418	28.504753774514263
han3000	Han3000	2283.910929402052	70.64229113488001
xi-jun-xiao-zi	细菌小子	2283.50242520582	39.25240533111174
chiro_11	Chiro_11	2282.2492938706164	2.9345466663160185
ling-jian-2012	灵剑2012	2276.012419986769	-21.03258944983667
sdcgvhgj	sdcgvhgj	2275.048901129763	0
moransky	空	2271.7439056874464	0
paigulong	RUSH_D_CAT	2268.3097783963317	0
rgb234rgb	rgb234rgb	2257.332081332399	0
sserxhs	SSerxhs	2255.1749160620875	0
wnjxyk	Zhi Zhou	2254.4909397600777	151.52193077685433
milesian-c	Milesian	2246.6999422350877	119.82172830184436
thuczh	thuczh	2244.6609835052377	-28.86912296830564
koishi514	Koishi514	2241.829861273093	-1.337330736160757
huangyuyang	ztxz16	2235.912006945682	0
IBle4ivChI	jinzhao1994	2234.748810811867	77.67809972506531
froggygua	Froggy	2231.088871194857	0
htedsv-i	tennkei	2227.770139997051	0
igoodvegetablea	栗子	2222.5941959594	0
lddlinan	82年的muggle	2218.207417894484	48.550892642448396
superj	SuperJ	2205.505365369709	0
qingczha	张晴川	2196.3125879283034	-31.838347391371137
noxe	noxe	2189.085329541233	0
newhar	newhar	2182.478690914837	1.1400196220954602
user6987q	23岁不样退休	2180.018321534016	88.16830900291599
radiancesheep	TinyVii	2174.4336519411145	70.69062859581756
lozy219	lozy219	2174.1164098602185	0
setsunachyan	Setsuna	2171.778388269424	38.584362267508375
qqwqert007	qqwqert007	2171.1794500903225	82.98178044660996
yuanyuan1024	yuanyuan1024	2170.776789956388	0
ddoudle	Doudle	2170.3988532924327	8.166497244499176
zhzho	最佳歌手	2168.517604756056	96.9835357808761
minori	Minori	2155.2688677103024	-6.467427173370188
xh286286	redpandabigcat	2148.2939372065875	14.230373330344271
tonghuikang	涂汇康	2144.406127153849	0
mollnn	mollnn	2143.375211502198	-0.08973096526573521
maskray	meowray	2142.898097692263	0
winter_training	winter_training	2133.9608396463823	49.707450890549815
cuiaoxiang	Aoxiang Cui	2128.6961129899905	0
wlzhouzhuan	wlzhouzhuan	2126.1346921677336	0
lightcml	LighT	2120.476713392642	42.259667144289786
linjiale	linjiale	2118.3392513809713	12.155159155960753
yldjw	YLDJW	2117.7735145780966	78.48587595883568
cksp	lucas110550	2115.0784343993355	0
hongrock	Hongrock	2111.509680161107	0
cola99	Cola9.9	2111.1991385155707	0
arubaababa	arubaababa	2110.9126066374965	0
msmsmsmsms-4	msmsmsmsms	2109.641896405561	0
simon1024	又被毕业啦	2108.240399411059	23.706141125873053
knarf	Knarf	2107.4032273366224	48.81429320030998
0ffers	0ffers	2107.3161287251696	66.19926181176255
asapin	饭他吃	2104.842174053441	0
monologue-s	Monologue	2103.6831209325555	52.11301960437641
darrenhp	Darren Hp	2098.390853623975	-16.57729308704301
jialilue	伽利略	2093.6595632777567	73.64048725917509
scut_dell	字节bpm团队求2-2大佬	2087.056147812969	45.130882723963175
ychzhou	ychzhou	2084.5218283329	0
li-kou-xiao-bai-be	臨兵鬥者皆陣列前行	2077.924628101328	0
please_ac	辽北地区第一狠人	2077.715918291057	84.7261722458751
pku_erutan	pku_erutan	2073.911876160173	0
anhpp-i	anhpp	2070.796485492069	0
lee0560	lee0560	2069.584127804498	3.6832627324338407
foxtail	Foxtail	2065.2899706873154	114.76428984961662
liuyubobobo	liuyubobobo	2060.1657367036687	9.7982738332637
aging	Aging	2058.880033928793	0
zrts	Ruotian Zhang	2055.7444463150723	14.328834221860014
simpleson	Simpleson	2051.802927989271	-44.386027452339015
eagleeyekestrel	EagleEyeKestrel	2049.715506473698	30.975974063234055
xlllli	涂💭💡🎈	2045.298919512816	-3.566458975883725
time-limit	自在飞花	2044.9158222697547	181.32911826717736
yuzining	yuzining	2034.9128316479935	43.97086888893842
hughstudy-n	Hughstudy	2032.4633018634058	20.371658673526447
zqy1018	zqy1018	2032.1772196677334	0
shawnxi	Shawn	2028.1780135474776	0
fanzhh	fanzhh	2025.9301719536868	0
T12LISwaEd	T12LISwaEd	2024.895844271662	142.71758626526992
yuzhifeng1992	yuzhifeng1992	2023.8799076922633	0
qiye-5	Qiye	2021.6233538255913	16.44778671134089
wyj20154348	WYJ20154348	2021.0068598000332	44.956890736898806
sui-sui-h	岁岁	2019.6345341171434	0
linxiaotian	林小天	2016.9624274344026	0
song-204	forever	2016.061863862453	20.24412667447894
harttle	Harttle	2016.0606653899358	0
mickeyandkaka1	TikTok内推欢迎私信	2014.3706410102352	-30.712620473302984
jtjl	JTJL	2012.818332831188	0
chunjie	Xiaoyuan Yu	2011.9499691974136	0
alex_xi	枫叶像思念	2011.7985720734375	0
nameless-chessfoot	无名棋脚	2006.057866783644	67.77488375328825
kaiwensun	Kaiwen Sun	2005.0955025159785	0
han-zhi-ken-qi	寒枝肯栖	2002.8585386671346	0
_-_-_-	___	2002.4674242519395	10.282206284992306
luchy0120	luchy0120	2000.2675893818148	26.726861155117497
kphmd	kphmd	1999.7182998216852	80.49094071524713
a_good_loser	WJ Sun	1999.5490098185662	0
huiget-6	huiget	1997.136750039274	0
silvertint10	silvertint10	1996.9499893336927	30.829951203239382
ddmike	ddmike	1996.7259143390627	0
tieway59	tieway59 	1993.0798585316008	0
sudo_yiii	sudo_Yiii	1991.2975143958206	0
hastings2k	大英权相吉姆哈克	1987.434807626098	48.34385291083402
richenyunqi	日沉云起	1987.243958135421	-112.70600759848911
chang-you-ren	chang-you-ren	1986.6365100461062	0
huaji035	滑稽	1985.0558076386574	117.22629289827468
megurine	5cm/s 🌸	1984.348297974561	0
stormsunshine	Storm	1978.3419754555189	40.510535081413316
sub-o	sub	1977.9358782097659	0
carotwang	王悟空	1977.3322892511292	0
azure_l	Azure_l	1977.2030738625012	46.29915667443084
