id	name	rating	delta
int65536	int65536	3303.009494703228	0
heltion	何逊	3139.509775485797	-12.491951765443238
wwwwodddd	wwwwodddd	3133.922763343384	46.1947103769696
johnkram	汪乐平	3085.289468279467	36.9009954408866
fan_of_emptyhope	fan_of_emptyhope	3072.3221098138197	0
arignote	arignote	3045.5661959446848	-58.635192224330716
lucifer1005	hide on bush	3043.890098052126	0
sfiction	sfiction	3037.49966319163	0
tsreaper	TsReaper	3028.923111862859	8.44207185749449
lucifer1004	吴自华	3021.950999595646	0
ayamt	Ayamt	3018.8866450894616	0
wifiii	wifiii	3002.3634189081804	0
zerotrac2	zerotrac 🌸	3000.553388313213	0
xay5421	xay5421	2965.2019512002066	188.4528725201471
hhhyyyfff	hhhyyyfff	2893.1273632886127	0
i_love_xiaoshagua_cpp	Shango	2875.0572403487718	0
liouzhou_101	liouzhou_101	2862.7940943474705	50.0979993728831
meyi	zankizero	2860.113820843777	164.52885287657656
7ucid-herscheld6u	jiangly	2843.8915220078406	0
renascencepjw0510	shawn	2843.3775366279037	0
jtjl	JTJL	2821.658663507113	0
mingqin-chen	Mingqin Chen	2813.8583135051663	0
lucifer1006	牧瀬 紅莉栖	2805.383963401408	59.013340318946106
jasonvictoryan	jasonvictoryan	2799.5188241433048	-100.95615042295118
asdfasdfasdf123123	yukiyukiyukiyukiyuki	2799.0705617087597	0
ljc00118	LJC00118	2773.4787164854138	0
venn-4v8	VmVmV	2771.1678718815815	118.30044183877223
asapin	饭他吃	2757.7489073853994	0
endlesscheng	灵茶山艾府	2756.909679958802	58.479933761551806
oldyan	oldyan	2746.7726438666755	0
moransky	空	2734.740905825652	17.04464789470169
tian-tang-6	天塘	2722.4637508050114	50.1734329153421
robezh-4	RobeZH	2719.6532582199793	0
shengtongtong	shengtongtong	2711.270593507483	0
ainuyu	Ainu	2709.218304128144	0
pornjoke	Pornjoke	2702.77629560865	0
cuiaoxiang	Aoxiang Cui	2699.7838903324023	41.85442338795131
acw_yxc	acwing_yxc	2692.595381025246	0
minori	Minori	2685.24490005476	0
tonghuikang	涂汇康	2683.631198072633	0
wasa855	wasa855	2673.2545370972816	0
ujimatsu_chiya	Ujimatsu Chiya	2667.5968934236735	-35.686799703319615
zqy1018	zqy1018	2659.9021442431035	0
sserxhs	SSerxhs	2659.5730874469464	0
kayroger-n	Kayroger	2659.476376408164	0
yawn_sean	小羊肖恩	2651.090412458485	-35.0800787381311
mi-ka-d	米咔	2647.7038176577	0
tiger2005	tiger2005	2646.6304933212737	0
qingczha	张晴川	2645.220364682567	0
cksp	lucas110550	2644.6849127282253	0
cpp_template	cpp_template	2641.510679976227	83.55839374412675
enzo2002	簡單、噯	2611.7311970460532	54.23588667430043
pku_erutan	pku_erutan	2610.2069600932023	-2.472406372848601
chiro_11	Chiro_11	2606.1321393100993	0
_hy3	以上皆非_Official	2598.004921928737	0
ling-jian-2012	灵剑2012	2595.651444923948	0
ab__c	ab__c	2590.313341358344	74.38673236200974
yousiki	YouSiki	2571.4881819199204	0
carotwang	王悟空	2570.5715964808287	0
nopenope	nopenope	2570.077763128136	0
lympanda	lympanda	2568.9371356347347	0
ychzhou	ychzhou	2565.3072722733746	0
polonez	Polonez	2563.934314355678	0
gooday-3	gooday	2563.5333396278143	35.82475409253923
qqapp	katoo	2559.8826103167607	0
czsnb	czsnb	2557.9160662116637	-20.13346249130975
libricardo	libricardo	2551.518354278146	19.239209442207972
noxe	noxe	2551.2769234190905	0
duyiblue	duyi	2548.6470901940233	0
huangyuyang	ztxz16	2547.625865113406	0
ruimina	大熊猫趴树上	2547.0988530100663	49.70522071028743
kikokiko	Kikokiko	2543.0639847626157	0
0ffers	0ffers	2541.8208815390476	0
qqwqert007	qqwqert007	2539.410592585886	0.25762113446760715
cola99	Cola9.9	2538.5950723168926	0
jinmingli	jinmingli	2538.0651228573197	16.00975086303422
tryonetry	orrz	2534.941026331832	0
acvv_cxy	yxc	2534.73774483229	89.45907888806367
ykx_akks	ykx_akks	2534.1293358204675	0
lin-yi-zw	林艺	2531.9706237612036	0
eagleeyekestrel	EagleEyeKestrel	2529.4981838205904	0
redamancy-11	Redamancy	2525.7324151371477	63.15177858320588
9am	9am	2525.3978884943635	0
acfinity	Luka	2523.9595373369916	0
walk-alone-a	walk alone	2520.4525961288505	0
_aki_	aki	2520.4382694309484	0
lightcml	LighT	2512.7594650271176	0
cppsail	CppSail	2511.408859573616	48.757534146737704
w285714	w285714	2511.0264197465954	-29.574706026241778
hongrock	Hongrock	2500.0975355479522	-41.33573182759849
mo-shuo-sha	莫说啥	2497.707481973396	0
laekov_prc	laekov	2497.4228440218453	0
acvv_choufeng	acvv_choufeng	2496.0857406245073	0
